Category,Function Name,Input,Output,Logic,Note
concepts,concept_in_set,"concept_id, concept_set_id",boolean,"returns 1 if the concept is in the set, 0 otherwise.  ",
concepts,concept_class_id,concept_id,concept class id,returns the concept class id of the concept,
concepts,concept_from_mapping,"source, code ",concept id,returns concept_id of that concept described,
concepts,concept_name,"concept_id, locale",concept name,Returns concept name of the concept in that locale.  Prioritizes preferred and fully_specified names.  Defaults to english if there is no name in that locale.,
demographics,person_address,patient_id ,address,"entire person address with levels separated by commas.  Prioritized by preferred, date created",
demographics,person_address_one,patient_id,address one level,address one level of patient,
demographics,person_address_three,patient_id,address three level,address three level of patient,
demographics,person_address_two,patient_id,address two level,address two level of patient,
demographics,birthdate,patient_id ,birth date,birth date of person,
demographics,cdc_id,patient_id,cdc id,cdc id of patient address,
demographics,person_address_city_village,patient_id,city village address level,city village address level  of patient,
demographics,gender,patient_id,gender,gender of person,
demographics,loc_registered,patient_id ,location name,name of location where patient was registered,
demographics,registration_date,patient_id ,registration date,date of the encounter the patient was registered,
demographics,person_family_name,person_id,name,family name of person,
demographics,person_given_name,person_id,name,given name of person,
demographics,person_middle_name,person_id,name,middle name of person,
demographics,person_name,person_id,name,first and last name of person comma separated,
demographics,current_age_in_months,person_id ,patient age,Returns the current age in years as an integer of the patient,
demographics,current_age_in_years,person_id ,patient age,Returns the current age in years of the patient,
demographics,age_at_enc,"person_id, encounter_id",patient age,age in years of the patient on the encounter date,
demographics,unknown_patient,patient_id,person id,returns patient/person id of patient if the patient is an unknown patient,
demographics,phone_number,patient_id,phone number,returns phone number of patient,
demographics,person_address_state_province,patient_id,state province address level,state province address level of patient,
diagnoses,diagnosis,"encounter_id, offset, locale",concept name,returns the coded diagnosis name (if exists) in that locale of the nth diagnosis of that encounter (n being the offset),
diagnoses,diagnosis_certainty,"encounter_id, offset, locale",concept name,returns the diagnosis certainty in that locale of the nth diagnosis of that encounter (n being the offset),does this work properly?
diagnoses,diagnosis_order,"encounter_id, offset, locale",concept name,return the diagnosis order in that locale of the nth diagnosis of that encounter (n being the offset),does this work properly?
diagnoses,retrieveICD10 ,concept_id,mapping code,return ICD10 mapping of concept passed in,
diagnoses,diagnosis_obs_group_id,"encounter_id, offset",obs group id,returns the obs_group_id of the construct of the nth diagnosis of that encounter (n being the offset),
diagnoses,diagnosis_noncoded,"encounter_id, offset",text,returns the text of the noncoded diagnosis (if exists) of the nth diagnosis of that encounter (n being the offset),
drugs,drugId,name_or_uuid,drug id,returns drug id of drug with that name or uuid,
drugs,drugName,id_or_uuid ,drug name,returns drug name of drug with id or uuid,
drugs,openboxesCode,id,openboxes code,returns the openboxes code associated with the drug with the given drug id,
encounters,encounter_creator,encounter_id,creator name,returns the name of the creator of the encounter,
encounters,encounter_date ,encounter_id,encounter date,encounter date of encounter,
encounters,encounter_date_created ,encounter_id,encounter date created,encounter date created of encounter,
encounters,encounter_creator_name ,encounter_id,creator name,first and last name of creator of encounter,
encounters,encounter_type_name,encounter_id,encounter name,returns encounter name of that type,
encounters,encounter_type_name_from_id,encounter_type_id,encounter_type_name,returns name of encounter type from the id, 
encounters,encounterName,type_or_uuid,encounter name,returns the encounter name of of the encounter described by the encounter type or uuid ,
encounters,encounter_type,name_or_uuid ,encounter type id,Returns the encounter_id of encounter described,
encounters,hivEncounterLocationId,encounter_id,location id,"returns the encounter location unless it is unknown location, in which case, it will return the program enrollment location at the time of the encounter",
encounters,encounter_location_name ,encounter_id,location name,location name of encounter,
encounters,encounter_parent_location_name ,encounter_id,location name,"returns the parent location of the encounter.  It looks 3 levels deep - the encounter location, that location's parent and then that location's parent.  The first location it finds without another parent is returned.",
encounters,provider ,encounter_id,provider name,"first and last name of provider of encounter, comma separated (this limits to 1 result, but with no sorting)",
encounters,provider_name_of_type,"encounter_id, provider_type, offset", provider name,returns the name of the nth provider (based of offset) or the specified type,
encounters,provider_type ,encounter_id,provider type,name of provider type of provider of the encounter (limits to 1 with no sorting),
encounters,visit_date,encounter_id,visit date,date of visit of the encounter,
find encounters,firstEnc,"patient_id, encounter_types, begin_date",encounter id,"encounter id of first encounter out of the set of encounters described by the encounter names passed in, since the begin date, returning null if there are any",
find encounters,latestEnc,"patient_id, encounter_types, begin_date",encounter id,"encounter id of most recent encounter out of the set of encounters described by the encounter names passed in, since the begin date, returning null if there are any",
