Uuid,Privilege name,Description
6c02aeb4-198f-4bd7-8076-4606a6b6629b,App: appointmentschedulingui.appointmentTypes,Access to the Manage Service Types app
0174be37-79fb-4ffd-8a0f-835a9040261c,App: appointmentschedulingui.home,Access to the Appointment Scheduling home page
c6f36ef5-6b4b-4855-8a41-9e62451438b6,App: appointmentschedulingui.providerSchedules,Access to the Manage Provider Schedules app
732c40bc-260e-4a42-91ef-17c6faf4c3f3,App: appointmentschedulingui.viewAppointments,Access to Manage Appointments and Daily Scheduled Appointments (but not the ability to book appointments from these pages)
e898fa6e-3d75-4d0c-a0a7-d6aaaa13b0e9,App: attachments.attachments.page,Allows access to the attachments page
F5330846-A1B4-4BB5-9843-66203E767E90,App: chwapp.mgmt,Use CHW management app
5b38d53c-a521-4df4-be11-8f1abdcdae12,App: cohortBuilder,Allows access to cohort builder app
c2f37314-3ed3-49a9-a43d-81448db33435,App: coreapps.activeVisits,Able to access the active visits app
7232d5a2-f890-4834-a0ea-e88eadc8aae2,App: coreapps.awaitingAdmission,Privilege to use the Awaiting Admission app
e84b166a-9626-4456-bd70-44a40add377d,App: coreapps.dataManagement,Able to access data management apps
1b54dcfc-8d58-4048-8679-a60c57790bef,App: coreapps.findPatient,Able to access the find patient app
68aabf82-a16b-42f9-85a5-e71570f5a669,App: coreapps.mergePatient,Able to access the merge patient app
54b54fc4-1fef-41bc-8d3b-1941ab3ba397,App: coreapps.patientDashboard,Able to access the patient dashboard
d221abbc-1989-4014-9558-f4bc62455b36,App: coreapps.patientVisits,Able to access the patient visits screen
26ef73b4-7aa6-4f7a-bce8-b5c37dc83a8c,App: coreapps.summaryDashboard,Able to access summary dashboards
69da2140-85ce-40d0-82ad-6ca7c188f2c6,App: coreapps.systemAdministration,Run the System Administration app
769a12c2-6ff0-42ba-888e-52e66ed16fb7,App: dispensing.app.dispense,Access to dispensing medication app
28860d07-9e9e-441d-9b9b-f9af3cff0349,App: edtriage.app.triage,Able to triage a patient
1b699660-245a-11e6-bdf4-0800200c9a66,App: edtriageapp.edtriage,Use ED Triage App provided by the ED Triage moddule
F7BAE2F7-78AB-4D7A-8470-8068E4969F56,App: edtriageapp.edtriage.queue,Use ED Triage Queue provided by the ED Triage moddule
24fb3877-c07e-436f-8005-ce7a81245fcd,App: emr.archivesRoom,Run the Archives Room app
60ce8766-57cc-4e4f-8356-6bbe3f56f980,App: emr.inpatients,Right to view the Impatient app
0a2e8032-abc9-11e8-843e-54ee75ef41c2,App: labs,Allows access to Labs apps
1bc1d453-c675-4674-b1eb-120b19d97f16,App: labtrackingapp.monitorOrders,Use the Monitor Orders app provided by the Lab Tracking app
18c8d715-8845-44e3-ac62-4b613f00e082,App: legacy.admin,Run the (Legacy) OpenMRS Administration app
d36890f2-ef9f-4cd5-a48e-f5519e608b93,App: mirebalais.checkin,Access the ZL Mirebalais Check-In app
